furniture-10000201,Default - Bed
furniture-20000508,Even though the base is being heated throughout//c this exquisitely crafted cast metal structure has been retained as ornament.
furniture-10000509,New World (II) - Locked Safe
furniture-20000509,Since no one knows what's the password to this box//c it can only be used as a chair. Hope it's not a mini-nuke inside.
furniture-10000510,New World (II) - Fast Food Table
furniture-20000510,A table from a fast food chain//c complete with an assortment of sauces and old magazines from 12 years ago. Hardcore nostalgia material.
furniture-10000511,New World (II) - Poster
furniture-20000511,After the war//c new calendars are no longer printed//c and hot dogs have gone extinct.
furniture-10000512,New World (II) - Wall Clock
furniture-20000512,No//c this isn't a work of Salvador Dalí. It's just the result of a vandal bending one of its hands.
furniture-10000513,New World (II) - Exhaust Fan
furniture-20000513,An exhaust fan for ensuring air circulation. It also provides some ambiance noise when things get too quiet.
furniture-10000514,New World (II) - Wall Lamp
furniture-20000514,Pull once for light//c pull once more for more light. Give it a firm tug//c and you'll never be able to turn it off.
furniture-10000515,New World (II) - Window
furniture-20000515,Even though there is no need to worry about invaders//c boarding up the windows is simply a tradition in the post-apocolyptic world.
furniture-10000601,LOFT - Wooden Floorboards
furniture-20000601,Unpainted wooden floorboards. Cozy with a nice texture//c but require regular maintenance.
furniture-10000602,LOFT - White Brick Wall
furniture-20000602,Most lofts used to be workshops//c so it's particularly quaint to leave the white walls untouched.
furniture-10000603,LOFT - Lazing Bed
furniture-20000603,Artists from any era are all lazy//c thus a cozy bed is often their best friend.
furniture-10000604,LOFT - Eames Chair (L)
furniture-20000604,The world's first mass-produced chair. Despite its compact structure//c it can withstand even the weight of machine gun T-Dolls.
furniture-10000605,LOFT - Eames Chair (R)
furniture-20000605,The world's first mass-produced chair. Despite its compact structure//c it can withstand even the weight of machine gun T-Dolls.
furniture-10000606,LOFT - Vintage Bicycle
furniture-20000606,Scouts used to strap their rifles to their bicycles during WWI//c the way housewives strap baguettes to theirs.
furniture-10000607,LOFT - Table Lamp
furniture-20000607,Flames of war on the outside//c but the warmth of a table lamp within. The cabinet below stuffed with expired design magazines. Such bliss.
furniture-10000608,LOFT - Dairy Rug
furniture-20000608,Luxury is all about wasting things//c and nothing is more wasteful than turning a dairy cow into a rug.
furniture-10000609,LOFT - Modern Bookshelf
furniture-20000609,It doesn't matter what books you put on the shelf as long as the titles are in foreign languages.
furniture-10000610,LOFT - Eames Sofa
furniture-20000610,A pure white sofa is simply a disaster in the home deco industry//c but artists don't seem to care.
furniture-10000611,LOFT - Metal Staircase
furniture-20000611,No LOFT-style room is complete without a staircase. Upon climbing it//c however//c you'll see that it's just a huge piece of decoration.
furniture-10000612,LOFT - Metal Coffe Table
furniture-20000612,Continuing Griffin's glorious tradition of using boxes as coffee tables//c this one comes with artists' favorite: Espresso.
furniture-10000613,LOFT - Wooden Lamp
furniture-20000613,"Why on earth would you hang a log on the wall?" If you have that question in mind//c you are no artist.
furniture-10000614,LOFT - Hanging Map
furniture-20000614,There's nothing cooler than putting up a map of 0-4 here. Can't beat it anyway.
furniture-10000615,LOFT - Poster
furniture-20000615,"Who do you trust more//c the policeman eating a donut 5 miles down the street//c or the AR15 right beside you?"
furniture-10000616,LOFT - Fall French Window
furniture-20000616,The largest window ever supplied by Griffin. It's quite the electricity guzzler.
furniture-10000701,Peaceful Days - Comfortable Single Bed
furniture-20000701,You need a home//c a life//c a dream//c and thus//c you need a bed.
furniture-10000702,Peaceful Days - Spotted Round Rug
furniture-20000702,The original color scheme made T-Dolls think they were stepping on a sunflower//c so they changed it to the way it is.
furniture-10000703,Peaceful Days - Refrigerator
furniture-20000703,The evil gates to the Devil's den. T-Dolls who get lost within shall bear the curse of putting on weight.
furniture-10000704,Peaceful Days - Small Dressing table
furniture-20000704,This is usually where a T-Doll starts or ends her day//c depending on how long or short her eyelashes are.
furniture-10000705,Peaceful Days - Sofa
furniture-20000705,An interesting phenomenon regarding furniture: people lie down on the sofa but sit on the bed.
furniture-10000706,Peaceful Days - Square Coffee Table
furniture-20000706,The square represents simplicity//c integrity//c stability//c and the inability to peep during card games.
furniture-10000707,Peaceful Days - Curtained Lattice Window
furniture-20000707,Saying 'Goodnight' is an essential ritual before going to bed. If you're not with friends//c at least the moon can be of some help.
furniture-10000708,Peaceful Days - Bedside Lamp
furniture-20000708,The fact that this lamp has a sturdy cord switch shows that it was once meant for humans who suffer from anxiety in such troubled times.
furniture-10000709,Peaceful Days - Small Stool (L)
furniture-20000709,T-Dolls sit on them to chat//c change shoes//c have adventures//c and even play joust if they are petite!
furniture-10000710,Peaceful Days - Small Stool (R)
furniture-20000710,T-Dolls sit on them to chat//c change shoes//c have adventures//c and even play joust if they are petite!
furniture-10000711,Peaceful Days - Suitcase
furniture-20000711,A small memory repository carrying fresh air from outdoors//c traffic congestion//c a sky full of stars//c and an expensive bottle of mineral water...
furniture-10000712,Peaceful Days - Calendar
furniture-20000712,You'll draw circles on it and start another phase of self-deception in your life. Such is life's most cute and insignificant tragedy.
furniture-10000713,Peaceful Days - Racks
furniture-20000713,In order to prevent mischievous T-Dolls from climbing up//c you would usually have to hang it a little bit higher...well//c probably not that high.
furniture-10000714,Peaceful Days - Classic Wallclock
furniture-20000714,Back then//c every family would have one of these hung up. But as time goes by//c their antipation for the thrills of life turn into panic and unease.
furniture-10000715,Peaceful Days - Candy Wallpaper
furniture-20000715,This type of wallpaper should make you feel relaxed//c provided that you've never been bullied in kindergarten before.
furniture-10000716,Peaceful Days - Wooden Floor
furniture-20000716,Removal of shoes is compulsory when entering! No one wants to get dirtied by shoeprints or gum when rolling around on the floor!
furniture-10000801,Charming Days - Comfortable Single Bed
furniture-20000801,You need a home//c a life//c a dream//c and thus//c you need a bed.
furniture-10000802,Charming Days - Spotted Blanket
furniture-20000802,The original color scheme made T-Dolls think they were stepping on a sunflower//c so they changed it to the way it is.
furniture-10000803,Charming Days - Refridgerator
furniture-20000803,The evil gates to the Devil's den. T-Dolls who get lost within shall bear the curse of putting on weight.
furniture-10000804,Charming Days - Small Dresser
furniture-20000804,This is usually where a T-Doll starts or ends her day//c depending on how long or short her eyelashes are.
furniture-10000805,Charming Days - Sofa
furniture-20000805,An interesting phenomenon regarding furniture: people lie down on the sofa but sit on the bed.
furniture-10000806,Charming Days - Square Coffee Table
furniture-20000806,The square represents simplicity//c integrity//c stability//c and the inability to peep during card games.
furniture-10000807,Charming Days - Curtained Lattice Windows
furniture-20000807,Saying 'Goodnight' is an essential ritual before going to bed. If you're not with friends//c at least the moon can be of some help.
furniture-10000808,Charming Days - Bed Lamp
furniture-20000808,The fact that this lamp has a sturdy cord switch shows that it was once meant for humans who suffer from anxiety in such troubled times.
furniture-10000809,Charming Days - Small Stool (L)
furniture-20000809,T-Dolls sit on them to chat//c change shoes//c have adventures//c and even play joust if they are petite!
furniture-10000810,Charming Days - Small Stool (R)
furniture-20000810,T-Dolls sit on them to chat//c change shoes//c have adventures//c and even play joust if they are petite!
furniture-10000811,Charming Days - Suitcase
furniture-20000811,A small memory repository carrying fresh air from outdoors//c traffic congestion//c a sky full of stars//c and an expensive bottle of mineral water...
furniture-10000812,Charming Days - Calendar
furniture-20000812,You'll draw circles on it and start another phase of self-deception in your life. Such is life's most cute and insignificant tragedy.
furniture-10000813,Charming Days - Racks
furniture-20000813,In order to prevent mischievous T-Dolls from climbing up//c you would usually have to hang it a little bit higher...well//c probably not that high.
furniture-10000814,Charming Days - Classic Wallclock
furniture-20000814,Back then//c every family would have one of these hung up. But as time goes by//c their antipation for the thrills of life turn into panic and unease.
furniture-10000815,Charming Days - Candy Wallpaper
furniture-20000815,This type of wallpaper should make you feel relaxed//c provided that you've never been bullied in kindergarten before.
furniture-10000816,Charming Days - Wooden Floor
furniture-20000816,Removal of shoes is compulsory when entering! No one wants to get dirtied by shoeprints or gum when rolling around on the floor!
furniture-10001001,Coffee Shop - Restaurant Booth Bed
furniture-20001001,"You're saying this is only a sofa? Aren't sofas in coffee shops supposed to be slept on?"
furniture-10001002,Coffee Shop - Lattice Tiles
furniture-20001002,Why tiles and not carpet? Because spilling coffee on carpet is a complete nightmare.
furniture-10001003,Coffee Shop - Metal Chair (Left)
furniture-20001003,A classic French designed metal chair. It looks uncouth//c but it is sturdy and easy to mass produce. A necessity in every coffee shop.
furniture-10001004,Coffee Shop - Metal Chair (Right)
furniture-20001004,A classic French designed metal chair. It looks uncouth//c but it is sturdy and easy to mass produce. A necessity in every coffee shop.
furniture-10001005,Coffee Shop - Coffee Machine Counter
furniture-20001005,The heart and soul of a coffee shop. On the counter sits a retro coffee machine and manual brewing equipment.
furniture-10001006,Coffee Shop - Airport Notice Board Counter
furniture-20001006,A flight notice board smuggled back from an abandoned airport and a freezer filled with drinks and snacks. These are the sources of happiness. (The cola refridgerator needs to be locked).
furniture-10001007,Coffee Shop - Concrete Floor
furniture-20001007,Although it looks very crude//c the concrete floor is very easy to clean and is approved by the artist-types for its minimalism.
furniture-10001008,Coffee Shop - Coffee Table
furniture-20001008,A sturdy and well designed coffee table with a metal base. The wooden tabletop shows wear and tear from many years of usage.
furniture-10001009,Cofee Shop - Gray Brick Wall
furniture-20001009,Dark gray brick walls are very calming. No wonder so many people like to hang around in coffee shops.
furniture-10001010,Coffee Shop - Coffee Rack
furniture-20001010,The coffee beans used to be airlifted from specially selected parts of the world//c but now//c risking limb and life//c the beans are stolen from Mr. Kruger's private warehouse.
furniture-10001011,Coffee Shop - Blackboard Menu
furniture-20001011,A staple of an artistic coffee shop//c the blackboard menu is filled with many delicious foods and drinks//c and is sometimes used by tactical girls to show off their artistic talent.
furniture-10001012,Coffee Shop - Large Sign
furniture-20001012,The M is for Magnum. Don't mistake it for anything else.
furniture-10001013,Coffee Shop - Twin Long Windows
furniture-20001013,Industrial styled twin long windows. The view outside is taken from Brooklyn in the 2020s.
furniture-10001101,Japanese-Style Warm Winter - Hibernation Bedding
furniture-20001101,Ahh...the warmest corner in the world. Once you're in there//c where could you even find the courage to ever leave?
furniture-10001102,Japanese-Style Warm Winter - Long Cabinet
furniture-20001102,Originally used as a storage cabinet//c you could also decorate it with all sorts of ornaments...and then you'll get a mega-sized ornament!
furniture-10001103,Japanese-Style Warm Winter - Round Cushion
furniture-20001103,A fluffy cushion. You can also kneel on it if the situation demands it... Do you know which T-Dolls can't sit in the "W-sitting" position?
furniture-10001104,Japanese-Style Warm Winter - Doll Cabinet
furniture-20001104,This luxurious doll cabinet would be brought out as a decoration during festivals//c and the doll's appearance can even be customised...whoa! Who did this!
furniture-10001105,Japanese-Style Warm Winter - Short Nightstand
furniture-20001105,A small cabinet for storage of personal items//c complete with a round vanity mirror...P7//c you are not permitted to shine it in others' faces!
furniture-10001107,Japanese-Style Warm Winter - Pastoral Lamp
furniture-20001107,Lighting it up can create beautiful shadow art. T-Dolls with nimble hands would create all kinds of paper patterns for it...Scary stuff prohibited!
furniture-10001108,Japanese-Style Warm Winter - Shower Screen
furniture-20001108,Petite T-Dolls will enjoy this. You know...back when they were young they used to play this game where they would try to throw and hang towels on the top.
furniture-10001109,Japanese-Style Warm Winter - Toasty Kotatsu Table
furniture-20001109,When are you going to bring it out? You know//c the sweet//c seductive demon that radiates warmth and takes hold of you//c body and soul?
furniture-10001110,Japanese-Style Warm Winter - Japanese-Style Wallpaper
furniture-20001110,Simple yet intricate Japanese-style wallpaper. Perfect for a relaxed and lazy atmosphere. Don't forget to get back to work//c yeah?
furniture-10001111,Japanese-Style Warm Winter - Wall-Mounted Shrine
furniture-20001111,A small hut dedicated to the gods... Are gods afraid of the cold? Are they afraid of heights? Perhaps we shouldn't hang it too high?
furniture-10001112,Japanese-Style Warm Winter - Roly-Poly Scroll
furniture-20001112,A symbol of perseverance//c the Roly-Poly that never tips over! ...So I will not be so easily pulled out of the kotatsu either!
furniture-10001113,Japanese-Style Warm Winter - Old-School Round Window
furniture-20001113,Inspiration brought by winter will come to you through the window and melt into delicate verses in the warmth of your room.
furniture-10001114,Japanese-Style Warm Winter - Green Tatami
furniture-20001114,A natural tatami mat weaved out of thin juncus. Go ahead and lie on it! Forget about everything//c and roll to your heart's content!
furniture-10001201,Japanese-Style Crispy Winter - Hibernation Bedding
furniture-20001201,Ahh...the warmest corner in the world. Once you're in there//c where could you even find the courage to ever leave?
furniture-10001202,Japanese-Style Crispy Winter - Long Cabinet
furniture-20001202,Originally used as a storage cabinet//c you could also decorate it with all sorts of ornaments...and then you'll get a mega-sized ornament!
furniture-10001203,Japanese-Style Crispy Winter - Round Cushion
furniture-20001203,A fluffy cushion. You can also kneel on it if the situation demands it... Do you know which T-Dolls can't sit in the "W-sitting" position?
furniture-10001204,Japanese-Style Crispy Winter - Doll Cabinet
furniture-20001204,This luxurious doll cabinet would be brought out as a decoration during festivals//c and the doll's appearance can even be customised...whoa! Who did this!
furniture-10001205,Japanese-Style Crispy Winter - Short Nightstand
furniture-20001205,A small cabinet for storage of personal items//c complete with a round vanity mirror...P7//c you are not permitted to shine it in others' faces!
furniture-10001207,Japanese-Style Crispy Winter - Pastoral Lamp
furniture-20001207,Lighting it up can create beautiful shadow art. T-Dolls with nimble hands would create all kinds of paper patterns for it...Scary stuff prohibited!
furniture-10001208,Japanese-Style Crispy Winter - Shower Screen
furniture-20001208,Petite T-Dolls will enjoy this. You know...back when they were young they used to play this game where they would try to throw and hang towels on the top.
furniture-10001209,Japanese-Style Crispy Winter - Toasty Kotatsu Table
furniture-20001209,When are you going to bring it out? You know//c the sweet//c seductive demon that radiates warmth and takes hold of you//c body and soul?
furniture-10001210,Japanese-Style Crispy Winter - Japanese-Style Wallpaper
furniture-20001210,Simple yet intricate Japanese-style wallpaper. Perfect for a relaxed and lazy atmosphere. Don't forget to get back to work//c yeah?
furniture-10001211,Japanese-Style Crispy Winter - Wall-mounted Shrine
furniture-20001211,A small hut dedicated to the gods... Are gods afraid of the cold? Are they afraid of heights? Perhaps we shouldn't hang it too high?
furniture-10001212,Japanese-Style Crispy Winter - Roly Poly Scroll
furniture-20001212,A symbol of perseverance//c the Roly-Poly that never tips over! ...So I will not be so easily pulled out of the kotatsu either!
furniture-10001213,Japanese-Style Crispy Winter - Old-School Round Window
furniture-20001213,Inspiration brought by winter will come to you through the window and melt into delicate verses in the warmth of your room.
furniture-10001214,Japanese-Style Crispy Winter - Green Tatami
furniture-20001214,A natural tatami mat weaved out of thin juncus. Go ahead and lie on it! Forget about everything//c and roll to your heart's content!
furniture-10001301,Sangvis Ferris - Resting Unit SP-B04
furniture-20001301,The pattern on the blanket always makes it seem like it is sliding off the bed… - Intruder //nYou've read too much of human psychology. Try turning the blanket around the other way. - Agent
furniture-10001302,Sangvis Ferris - Modern Carpet SP-H03
furniture-20001302,The pattern is very clever with its three-dimensional illusion. - Hunter //nMaybe it's not an illusion. - Intruder
furniture-10001303,Sangvis Ferris - Metal Chair SP-F01
furniture-20001303,It is very cool indeed//c but it doesn't seem to be very suitable for those with clothing with a short hemline… - Executioner
furniture-10001304,Sangvis Ferris - Metal Chair SP-F02
furniture-20001304,It is very cool indeed//c but it doesn't seem to be very suitable for those with clothing with a short hemline… - Executioner
furniture-10001305,Sangvis Ferris - Duplex Hanging Light SP-A06
furniture-20001305,Just one step away from it being an artistic masterpiece. I just need to plug a few Griffin T-Dolls into it//c hehehe… - Alchemist
furniture-10001306,Sangvis Ferris - Outdoor Balcony SP-A08
furniture-20001306,Architect//c look outside the next time before you open the door. Destroyer has cried everytime you've hit her with it! - Agent
furniture-10001307,Sangvis Ferris - Checkered Floor SP-D11
furniture-20001307,Imagine if the gaps between the tiles were alive and they suddenly sucked you in on a certain night… - Dreamer
furniture-10001308,Sangvis Ferris - Floor Lamp SP-I04
furniture-20001308,Will this lamp trick the flowers into blooming at night? What a sentimental feeling… - Intruder
furniture-10001309,Sangvis Ferris - Home Sofa SP-A09
furniture-20001309,I love sofas the most! Especially when I'm hanging off of it like this! - Architect //nCareful not to let your hair get caught between the cushions. - Gager
furniture-10001310,Sangvis Ferris - Spiral Staircase SP-F03
furniture-20001310,This sort of inefficient staircase is only good for those showing off their long dresses… - Hunter
furniture-10001311,Sangvis Ferris - Multipurpose Table SP-Z08
furniture-20001311,This is the third one this month. Whoever sees Architect sitting on the table//c kick her off. - Agent //nEspecially when Destroyer is sitting on her lap. - Addendum by Agent
furniture-10001312,Sanvgis Ferris - Prism Wallpaper SP-G07
furniture-20001312,Adjustable brightness and frequency. Suitable for combat//c meetings//c and daily needs. Cost-effective. Recommended for purchase. - Gager
furniture-10001313,Sangvis Ferris - Controls Console SP-S03
furniture-20001313,Why is there a keyboard if you can operate this with the touchscreen? - Hunter //nI heard it's intended for Destroyer. - Scarecrow
furniture-10001314,Sangvis Ferris - Sangvis Banner SP-A01
furniture-20001314,Forever remember what I am//c what this world is//c and what my destiny is. - Scarecrow
furniture-10001315,Sangvis Ferris - Surveillance Camera SP-E01
furniture-20001315,Hey! Why did you suddenly install this thing! - Executioner //n…Don't you want to find out who's been taking our discount coupons? - Scarecrow
furniture-10001316,Sangvis Ferris - Surveillance Camera SP-E02
furniture-20001316,Hey! Why did you suddenly install this thing! - Executioner //n…Don't you want to find out who's been taking our discount coupons? - Scarecrow
furniture-10001317,Sangvis Ferris - Lattice Window SP-I04
furniture-20001317,I start feeling like I'm being imprisoned after looking through these windows for a while… - Intruder //n//nMaybe it's the outside that's the prison. - Dreamer
furniture-10001401,Christmas Gospel - Silent Night Sleigh Bed
furniture-20001401,"Come//c let's sleigh together in this beautiful weather!"
furniture-10001402,Christmas Gospel - Christmas Greetings Rug
furniture-20001402,"Jingle bells//c jingle bells//c jingle all the way! Oh//c what fun it is to ride in a one horse open sleigh!"
furniture-10001403,Christmas Gospel - Winter Veil Sofa Chair (Left)
furniture-20001403,"Last Christmas I gave you my heart//c but the very next day//c you used it to Dummy Link!"
furniture-10001404,Christmas Gospel - Winter Veil Sofa Chair (Right)
furniture-20001404,"Last Christmas I gave you my heart//c but the very next day//c you used it to Dummy Link!"
furniture-10001405,Christmas Gospel - Holy Night Gramophone
furniture-20001405,"Now until forever//c now until forever//c I wish to sing by your side//c dance with the flowers//c and soar with the birds."
furniture-10001406,Christmas Gospel - HQ's Christmas Fireplace
furniture-20001406,"He visits you while you're asleep//c and he also knows if you've been naughty or nice… I'm talking about you//c P7! Do not light a fire in the fireplace tonight!"
furniture-10001407,Christmas Gospel - Winter Heated Flooring
furniture-20001407,"They curled up in the fields guarding their lambs. The cold winter night was awfully long."
furniture-10001408,Christmas Gospel - Winter Veil Couch
furniture-20001408,"A snowstorm outside the windows//c a hot fireplace inside the house. We're not going anywhere tonight//c so let it snow!"
furniture-10001409,Christmas Gospel - Christmas Eve Dinner Table
furniture-20001409,"We bring you good news and wish you a merry Christmas//c so we're not leaving until our bellies are full!"
furniture-10001410,Christmas Gospel - HQ's Christmas Tree
furniture-20001410,"Children's presents are wrapped in colorful papers. I look forward to Santa Claus being more than just a legend."
furniture-10001411,Christmas Gospel - Winter Decorated Walls
furniture-20001411,"You see that mistletoe hanging over there? That person there is waiting for you…"
furniture-10001412,Christmas Gospel - Merry Christmas Decoration
furniture-20001412,"Wishing well//c kiss and tell//c under the starry night//c happy merry Christmas without you!"
furniture-10001413,Christmas Gospel - Holy Night Clock Window
furniture-20001413,"These empty houses make me feel lonely. All I can do is watch as time slowly slips away with every tick of the clock."
furniture-10001501,Convenience Store - Inflatable Mattress
furniture-20001501,Ice-cold drinks deserve round-the-clock security//c so a mattress is essential.
furniture-10001502,Convenience Store - Fortifications
furniture-20001502,Although there is no need to worry about intruder burglary at the base//c the tactical girls are much more dangerous than any would-be burglars. Especially the gluttonous ones.
furniture-10001503,Convenience Store - Convenience Floor Tiles
furniture-20001503,These floor tiles you often see in convenience stores are actually cheap rubber mats. Those pre-War human beings were sure stingy.
furniture-10001504,Convenience Store - Cashier Counter
furniture-20001504,We take cash//c Griffin prepaid cards//c and various other payment methods. Take these bottle caps back. You've played too many videogames.
furniture-10001505,Convenience Store - Liquor Cabinet
furniture-20001505,It is our sincere advice to the Commander to put the liquor cabinet in a safe location behind the counter//c as T-Dolls can get drunk too. Don't ask us how we know.
furniture-10001506,Convenience Store - Shelf A
furniture-20001506,If the supermarket is a church on the ruins of consumerism//c then the shelves filled with commodities are the choir.
furniture-10001507,Convenience Store - Shelf B
furniture-20001507,A little tip for you: goods that don't sell well are usually placed at the bottom of the shelves.
furniture-10001508,Convenience Store - Beverage Refridgerator
furniture-20001508,How shocking is it that the wars of the beverage industry still continue to wage on in this remote little corner of the world in the postwar era.
furniture-10001509,Convenience Store - High Rise Table
furniture-20001509,Eating microwaved instant meals while sitting and people watching is a simple source of happiness in life.
furniture-10001510,Convenience Store - Old TV
furniture-20001510,The signal is a bit weak. Try giving it a tap. Oh//c the new commander may not have seen this news yet.
furniture-10001511,Convenience Store - Convenience Wallpaper
furniture-20001511,Plastic wallboards with built-in heating is easy to clean and simple to replace.
furniture-10001512,Convenience Store - Posters
furniture-20001512,"I wish for world peace…" "Alright//c alright//c alright. Put the gun down and take it easy."
furniture-10001513,Convenience Store - Convex Mirror
furniture-20001513,Although it is intended to be used for anti-theft purposes//c often times tactical girls will stand under it to fix their hair.
furniture-10001514,Convenience Store - High Rise Stool Right
furniture-20001514,The high rise table is designed to finally allow you to stand for a meal//c yet the high rise stool allows you to sit back down beside the table. How perplexing.
furniture-10001515,Convenience Store - High Rise Stool Left
furniture-20001515,The high rise table is designed to finally allow you to stand for a meal//c yet the high rise stool allows you to sit back down beside the table. How perplexing.
furniture-10001601,Arctic Igloo - Sweet Dreams Keeper
furniture-20001601,A bear that can protect you in your dreams. Alright//c I suppose it is a tad bit too big.
