skin-10000001,かぼちゃクマさん
skin-20000803,私たち、こんなにいろいろ経験してたんだ～。これからも、ずっとそばにいてくれるよね？
skin-30000803,私最後はどうやって宿舎に帰ったんだっけ？記憶があいまいだわ……でも、あんなに気持ちよく飲めたのは久しぶりね！
skin-10000804,舞踏会の休止符
skin-20000804,ダンスのパートナー頼んどいたのに、いったい何してんのかしら……もうっ！な、なによ！遅刻してきたんだから文句いわないでよね！
skin-30000804,ヴィオラケースで銃の持ち運びをするのは、悪くないアイデアだと思ったんだけど、意外にも厄介なことになっちゃったわね……次からはどうしようかしら？
skin-10000805,星の繭
skin-20000805,指揮官、今晩の舞台……わたしと貴方、2人だけのものにしましょう？
skin-30000805,どうしてみんな恐れに満ちた目でわたしのことを見るのよ……昨晩何かあったの？
skin-10000806,ノクターン
skin-20000806,レッドカーペットの準備はできました？転ぶ人が出ないようにしてくださいね？
skin-30000806,ふぅ……昨日はリラックスするためのパーティーだったのに、とても疲れた感じがします。なのでもう少しだけ寝かせてください……
skin-10000807,黒兎マキアート
skin-20000807,美味しいものは可愛いアタシにぴったり。今日のお祝いの贈り物として大サービスよ！
skin-30000807,いつか社交パーティーへの参加を許してもらえるくらいにまで成長するんだから！フフッ、その時になったらみんな羨ましがるだろうね～
skin-10000808,祭典のフォルテ
skin-20000808,最後の演目が始まる？やっとあたしの出番ね！
skin-30000808,アハハ……ホテルの倉庫を片付けるの忘れちゃってたみたい。ホテルのスタッフに迷惑かけてないといいけど……
skin-10000901,ちびガンナー
skin-20000901,え？ど、どうしてこんな……だ、大丈夫です。これでも戦えますから！……たぶん……
skin-30000901,
skin-10000902,親指姫
skin-20000902,指揮官、肩叩きしましょうか？……いえ、大丈夫です。私、力持ちですから！
skin-30000902,
skin-10000903,変身！テディベア！
skin-20000903,うう、人生ってこんなに辛いんだっけ？それとも、子供のときだけこんななの？
skin-30000903,
skin-10000904,幼き流離人
skin-20000904,指揮官、今日は子供にプレゼントをあげないと逮捕されちゃうよ～
skin-30000904,
skin-10000905,ちびっ子メイド
skin-20000905,え？わたしの銃って、こんな大きかったのですか？では、頑張って成長しなければなりませんね……
skin-30000905,
skin-10000503,μ-12
skin-20000503,神輝召喚！ムラクモ起動！
skin-30000503,
skin-10000504,マグナムウェディング
skin-20000504,私の理想の旦那様はどこにいるの？
skin-30000504,
skin-10000505,アナイアレイター
skin-20000505,このエルフェルト=ヴァレンタインが、不適格な人形を殲滅します！
skin-30000505,
skin-10001101,炎天下の任務
skin-20001101,海風に殺気が混じっているようだ。ここは私に任せろ。
skin-30001101,
skin-10001102,夏の蝉の声
skin-20001102,この水着、早く97式に見せたいわぁ～、うふふ。
skin-30001102,
skin-10001103,仲夏のエルフ
skin-20001103,すごーい！海と空が繋がってますぅ～！
skin-30001103,
skin-10001104,トロピカルストーム
skin-20001104,指揮官～！私と指揮官の影を海に映してみようよ！
skin-30001104,
skin-10001105,盛夏の巡礼者
skin-20001105,指揮官だけじゃなくて、みんなの目を引いちゃうよ？どうぞ見て見て～。
skin-30001105,
skin-10001106,ビーチプリンセス
skin-20001106,うふっ、夏はやっぱりこの格好が一番気持ちいいですねー！
skin-30001106,
skin-10001107,目覚めたマーメイド
skin-20001107,指揮官、海風の一番気持ちいい場所を一緒に探しましょう～
skin-30001107,
skin-10001108,熱帯魚のいたずら
skin-20001108,せっ、せっかく水着買ったから、着ないともったいないでしょ……べつに指揮官に見せるためじゃないもん！
skin-30001108,
skin-10001109,クルーズクイーン
skin-20001109,ふ～ん、指揮官、ほんとセンスたっぷりのデザインを選んだわね。これで満足？
skin-30001109,
skin-10001201,花と水
skin-20001201,指揮官、ワタシの邪魔だけはしないでくれよ？ワタシは今この祭りで一番美味しいりんご飴を探している最中なんだ。
skin-30001201,
skin-10001202,夏・花火・朝顔
skin-20001202,あら、こんな所でお会いするなんて……花火が上がるの、一緒に待ちましょうか？
skin-30001202,
skin-10001203,桜吹雪
skin-20001203,せっかくこんなに賑やかなんだから、今晩はもう仕事の話はやめて、楽しまない？
skin-30001203,
skin-10001204,三羽烏
skin-20001204,えっへん！今晩のお祭りのゲーム、全部アタシが1番とるぜ！
skin-30001204,
skin-10001205,花は眠らない
skin-20001205,指揮官さま、今回の花火大会ってどんななんでしょうね？楽しみです～
skin-30001205,
skin-10001301,北極ギツネ
skin-20001301,ちょっと気合入れてオシャレしてみたんだけど……ん～、大して変わんないか。
skin-30001301,
skin-10001302,弾丸カフェ
skin-20001302,指揮官、わたしがサービスするのはただ1人……あなただけです。
skin-30001302,
skin-10001303,戦場のパティシエ
skin-20001303,スイーツは如何です？メニューにないものも試しにお作りできますけれど。
skin-30001303,
skin-10001304,休日の街角
skin-20001304,あちゃ～この服ゆるゆるじゃん。ちょっと不便だわ。
skin-30001304,
skin-10001305,夜更けのバー
skin-20001305,指揮官、飲みすぎにはお気をつけになって……酔った場合はわたくしにお任せあれ。
skin-30001305,
skin-10001401,闇の王
skin-20001401,そんな変装でわたしが驚くとでも？死んだものは…ただ闇に帰るだけです。
skin-30001401,
skin-10001402,青丘狐
skin-20001402,お菓子の準備ができました、みんなを呼んで来てくださいね。あっ、でも一度に来すぎても困りますよ。
skin-30001402,
skin-10001403,七番目の封印者
skin-20001403,今夜はどのように過ごしたいですか？ひとまず怪談話は百個ほど用意しましたよ。
skin-30001403,
skin-10001404,魔銃シスター
skin-20001404,お菓子くれないなら、イタズラしーないっ！ふふ、今晩はお菓子大漁～。なぜって、あたしが可愛からに決まってるでしょ！
skin-30001404,
skin-10001405,最後のアリス
skin-20001405,安心してください、今夜の死のロックロールはワタシが奏でましょう。
skin-30001405,
skin-10001406,大事なお菓子を盗んでいきました
skin-20001406,トリックオアトリート！トリックオアトリート！！トリックオアトリート！！！
skin-30001406,
skin-10001407,ウルフ・ウォーカー
skin-20001407,今夜もらった初プレゼントだよ、どれどれ……ギャ！！…やっぱり罠だったか…
skin-30001407,
skin-10000506,
skin-20000506,
skin-30000506,
skin-10000507,
skin-20000507,
skin-30000507,
skin-10000508,ゼーレ-ゼーレの祭礼
skin-20000508,
skin-30000508,
skin-10001501,デモンハンター
skin-20001501,ハイソな場所に出入りするなら、それなりのカッコして、それなりに振る舞わなきゃな。これも社会のルールってやつだ。//n
skin-30001501,オペラを最後まで鑑賞できなかったのが、ちょっと残念だ。今度は誰の邪魔も入らないときに観たいもんだな。
skin-10001502,オペラ座の怪人
skin-20001502,美しい衣装は舞台公演を成功へ導くためなのですね。つまり……衣装も実力のうちだということですか？//n
skin-30001502,任務完了後に劇場が舞台写真を送ってきてくれました。正面から撮った写真がよかったです……
skin-10001503,淑女の密命
skin-20001503,フン、正装をしたところで、ワタシの勝利がより完璧なものになるだけだ。//n
skin-30001503,指揮官、領収書を受け取ったとき顔色が悪かったが……どうしたんだ？
skin-10001504,荒野のハンター
skin-20001504,こういう格好のほうが野外での戦闘に適しているんだ……これで更に仲間を守ることができる。//n
skin-30001504,戦闘の合間に飲むコーヒーは格別だな、ただのインスタントコーヒーであろうと。
skin-10001505,ベイビー・ライダー
skin-20001505,ほら、違うビートが出た。こういうワタシもクールだぜ♪//n
skin-30001505,うん、次のツーリングのときは、新しいビートを試してみよう♪
skin-10001506,パンク・ライダー
skin-20001506,ねぇ……この服も高いんだから、気をつけてよね！//n
skin-30001506,指揮官、バイクの鍵わたしとくね。練習の件、約束よ。忘れないこと。
skin-10001507,バーテンダー
skin-20001507,グーテンターク、ご主人様。このG36が、お側にお仕えさせていただきます。……こういうご挨拶のほうが、より執事らしくありませんか？//n
skin-30001507,これが爆弾のコードです、危ないところでした。でも心配はいりません、これからも私が皆さまをお守りしますので。
skin-10001608,森のトナカイさん
skin-20001608,メリークリスマス、指揮官さま！今夜はイベントがいっぱいありますね、ガイドとか要りませんか？
skin-30001608,
skin-10001601,いじわるRFBのクリスマス
skin-20001601,クリスマスセールだ！早くプレゼント買ってよ指揮官！
skin-30001601,
skin-10001602,一番綺麗な贈り物
skin-20001602,メリークリスマス…晩ご飯はまだ？
skin-30001602,
skin-10001603,銃声を捧げる雪姫
skin-20001603,サンタを信じるか？そうですね、私がサンタを撃つことが出来たら信じます。…ふふ、冗談です。
skin-30001603,
skin-10001604,真冬の採集者
skin-20001604,見てみて、サンタさんのヒゲもぎとった！あはははマジウケる！
skin-30001604,
skin-10001605,プレゼント売りのクリスマスツリー
skin-20001605,メリークリスマス、指揮官。ソックスにボタンを一個入れて、サンタさんにプレゼントしましょうか。
skin-30001605,
skin-10001606,ハッピー・クリスマス
skin-20001606,クリスマスは好きですよ～。ケーキもおいしいし、楽しいです！
skin-30001606,
skin-10005000,M1911-オリジナルスキン
skin-20005000,オリジナルスキン
skin-30005000,オリジナルスキン
skin-10005001,FF FN49-オリジナルスキン
skin-20005001,オリジナルスキン
skin-30005001,オリジナルスキン
skin-10005002,64式-オリジナルスキン
skin-20005002,オリジナルスキン
skin-30005002,オリジナルスキン
skin-10005003,AR15-オリジナルスキン
skin-20005003,オリジナルスキン
skin-30005003,オリジナルスキン
skin-10005004,IDW-オリジナルスキン
skin-20005004,オリジナルスキン
skin-30005004,オリジナルスキン
skin-10005005,M4A1-オリジナルスキン
skin-20005005,オリジナルスキン
skin-30005005,オリジナルスキン
skin-10005006,M1895-オリジナルスキン
skin-20005006,オリジナルスキン
skin-30005006,オリジナルスキン
skin-10005007,モシン・ナガン-オリジナルスキン
skin-20005007,オリジナルスキン
skin-30005007,オリジナルスキン
skin-10005008,M1918-オリジナルスキン
skin-20005008,オリジナルスキン
skin-30005008,オリジナルスキン
skin-10005009,MP-446-オリジナルスキン
skin-20005009,オリジナルスキン
skin-30005009,オリジナルスキン
skin-10005010,コルトSAA-オリジナルスキン
skin-20005010,オリジナルスキン
skin-30005010,オリジナルスキン
skin-10005011,SV-98-オリジナルスキン
skin-20005011,オリジナルスキン
skin-30005011,オリジナルスキン
skin-10005012,Gr G3-オリジナルスキン
skin-20005012,オリジナルスキン
skin-30005012,オリジナルスキン
skin-10005013,ブレン-オリジナルスキン
skin-20005013,オリジナルスキン
skin-30005013,オリジナルスキン
skin-10005014,M4 SOPMOD II-オリジナルスキン
skin-20005014,オリジナルスキン
skin-30005014,オリジナルスキン
skin-10005015,UMP45-オリジナルスキン
skin-20005015,オリジナルスキン
skin-30005015,オリジナルスキン
skin-10005016,ステンMK-II-オリジナルスキン
skin-20005016,オリジナルスキン
skin-30005016,オリジナルスキン
skin-10005017,M14-オリジナルスキン
skin-20005017,オリジナルスキン
skin-30005017,オリジナルスキン
skin-10005018,Gr G36-オリジナルスキン
skin-20005018,オリジナルスキン
skin-30005018,オリジナルスキン
skin-10005019,LWMMG-オリジナルスキン
skin-20005019,オリジナルスキン
skin-30005019,オリジナルスキン
skin-10005020,Micro Uzi-オリジナルスキン
skin-20005020,オリジナルスキン
skin-30005020,オリジナルスキン
skin-10005021,AS Val-オリジナルスキン
skin-20005021,オリジナルスキン
skin-30005021,オリジナルスキン
skin-10005022,StG44-オリジナルスキン
skin-20005022,オリジナルスキン
skin-30005022,オリジナルスキン
skin-10005023,
skin-20005023,オリジナルスキン
skin-30005023,オリジナルスキン
skin-10005024,
skin-20005024,オリジナルスキン
skin-30005024,オリジナルスキン
skin-10005025,
skin-20005025,オリジナルスキン
skin-30005025,オリジナルスキン
skin-10005026,
skin-20005026,オリジナルスキン
skin-30005026,オリジナルスキン
skin-10001701,うさぎ班
skin-20001701,えへへ、指揮官、私の電話番号欲しいんですか？ちゃんと電話してくださるのならいいですよ！
skin-30001701,
skin-10001702,ThanX！&Go2Hell！
skin-20001702,これが今最新のファッションなんだ！入手ルートは秘密なんだが……ふっ、褒めたければ素直に褒めればいい！
skin-30001702,
skin-10001703,粉雪につつまれて
skin-20001703,水中の冷たさに慣れると……この暖かい時間がもっと幸せに感じるんですよ。
skin-30001703,
skin-10001704,異国迷路のクロスロード
skin-20001704,今のうちに出発しよう！アタシたちの進む道に迷う暇はないよ！
skin-30001704,
skin-10001705,ほしのむこう
skin-20001705,仕事服じゃなくてもいいの？……ふふ、いいわよ、これがお望みであるのなら。
skin-30001705,
skin-10001801,春牡丹
skin-20001801,指揮官、新年のパーティーで、私にアピールの機会はあるのかしら？
skin-30001801,
skin-10001802,ウメ印
skin-20001802,あっという間に新年ですね。指揮官、理想の未来にまた一歩、近づいたのでしょうか？
skin-30001802,
skin-10001803,水芙蓉
skin-20001803,指揮官、ずっと家にこもってばかりじゃつまんないよ、一緒に出かけて冒険しょうよ！
skin-30001803,
skin-10001804,タマスダレ
skin-20001804,今年はどんな正月イベントがあるんだろ？アタシを楽しませてくれるかな～？
skin-30001804,
skin-10001805,レモンバーム
skin-20001805,ダーリン、気付いた？今日のわたくし、何が違ったことありますか？いつもよりもバッチしメイクを決めてきたんだから！あけましておめでとう！
skin-30001805,
skin-10001806,ノアサガオ
skin-20001806,明けましておめでとうございます、指揮官。休日であっても、リッラクスはほどほどにしてくださいね。
skin-30001806,
skin-10001807,冬ツバキ
skin-20001807,指揮官、今年の目的地はどこですか？これからもお供させて下さい！
skin-30001807,
skin-10001808,ヤグルマギク
skin-20001808,指揮官、明けましておめでとうございます。昨年の財務表が出たけど大きな浪費もなかったわ。今年も頑張りましょうっ。
skin-30001808,
skin-10001809,東湖蓮
skin-20001809,ご主人様、明けましておめでとうございます。新年はどうやって過ごすおつもりですか？ゆっくりコーヒーでも飲んで考えませんか？
skin-30001809,
skin-10001901,盲信者
skin-20001901,たくさんいじめたから、たまにはいじめられてもいいかな。
skin-30001901,こんな雰囲気ぶち壊しの写真を残しておいてホントにごめん。だけど、これが写真を撮った時のあたしの本当の気持ち……たぶん。
skin-10001902,幸せの微笑み
skin-20001902,ありがとう。これからもそばに居させて。一番信頼のできるパートナーになってあげるわ。
skin-30001902,もしいつか結婚式の招待状を出す時が来たら……このシーリングスタンプを使いましょ！
skin-10001903,小さな一歩
skin-20001903,どこもかしこもちっちゃいわたしですが、おそばにいていいんですか？
skin-30001903,やっぱり他の人と同じように大きなスカートを履いてみたいです……なので、これから目標に向かって頑張りますね！
skin-10001904,純白の矢車菊
skin-20001904,これからも貴方様専属のメイドとして、おそばに置いてくださいませ。
skin-30001904,帰ったあとで、髪に花の飾りがついていたことに気づきました。記念としてとっておきます。
skin-10001905,いつまでも心を一つに
skin-20001905,とにかく、あとで後悔しても知らないからね、アハハ！もう離さないから！
skin-30001905,このスタンプとってもストレートなデザインだね、あとで使う機会があればいいな……ハハ、多分ないかな。
skin-10001906,ハートに命中！
skin-20001906,メモはとらなくていいですよね？だって1回で十分ですもの。
skin-30001906,スタジオが贈り物をしてくださるんですか？本当の結婚式がどういう感じなのかはわかりませんが、受け取るのは少し申し訳ない気持ちになりますね……
skin-10002001,極東の姫
skin-20002001,
skin-30002001,
skin-10002002,ムーンライト
skin-20002002,
skin-30002002,
skin-10002003,冬来たる
skin-20002003,
skin-30002003,
skin-10002004,玄黄鳳凰
skin-20002004,
skin-30002004,
skin-10000509,ポケットシティ女王二世
skin-20000509,
skin-30000509,
skin-10000510,ポケットシティ女王三世
skin-20000510,
skin-30000510,
skin-10002101,最高価格
skin-20002101,
skin-30002101,
skin-10002102,星夜舞踏会
skin-20002102,
skin-30002102,
skin-10002103,ナイトフォール
skin-20002103,
skin-30002103,
skin-10002104,白駒のクイン
skin-20002104,
skin-30002104,
skin-10002105,ミラクル女王
skin-20002105,
skin-30002105,
skin-10002106,この世の歌
skin-20002106,
skin-30002106,
skin-10002107,ダイアの花
skin-20002107,
skin-30002107,
skin-10002108,箱の中の猫
skin-20002108,
skin-30002108,
skin-10002109,ワイトナイトスター
skin-20002109,
skin-30002109,
skin-10002201,勇ましいちびのカルカノ
skin-20002201,シノ～こっちだよ～来ないと一人にしちゃうよ！
skin-30002201,
skin-10002202,ミスピノキオ
skin-20002202,ちょっと…お姉ちゃん！そんなに遅いと、追いつけないよ！
skin-30002202,
skin-10002203,ファイちゃんの冒険
skin-20002203,指揮官はちゃんとアタシの手を繋いでね？あなたが迷子になったら困るよ～
skin-30002203,
skin-10002204,かえるの姫さま
skin-20002204,この姿で戦ったら、敵をびっくりさせる効果があるかも知れないね？試し甲斐がある！
skin-30002204,
skin-10002205,ガチョウのふしぎな旅
skin-20002205,育ちざかりだから、魚の骨一本も無駄にしない……ぐぅ、ちょっと硬い……
skin-30002205,
skin-10002206,二度とないの大鴉
skin-20002206,「父母（ちちはは）」がいないワタシたち…。「子供」と言えるのでしょうか？
skin-30002206,
skin-10002301,貴族体験館
skin-20002301,うーむ……甘すぎたか？もう少し苦めのほうがいいか。ご主人様はどっちが好みだ？
skin-30002301,紅茶を入れるのは面倒でもあるが……面白くもある。時間が空いた時にでも少し試してみるかな。
skin-10002302,花びらの付き人
skin-20002302,あ、あの……おかえりなさいませ、指揮……じゃなくて！ご、ご主人様！……すみません、次はうまくできるよう練習しておきます。
skin-30002302,え？記念に写真をですか？本当に撮るんですか……うぅ……こんな格好、どんなポーズをとれば……
skin-10002303,家政訓練
skin-20002303,足をあげて、そこからどいて！床が鏡になるぐらいきれいになるまでは、足跡の一つも許さないからね！
skin-30002303,大掃除の後だと、心も部屋もピッカピカ！うんうん、今回の訓練は宿舎でも推し進めるべきだよ！今度時間があれば指揮官に相談しようかな～
skin-10002304,ビール牧場
skin-20002304,えへへ～ご主人様、ご注文のビールですよ！……もう一杯？ああ、これはバランスをとるためのものだよ！
skin-30002304,あははは……G36姉、ごめん！秘伝書を借りた時に約束したでしょ？もう訓練をサボらないから信じてよ！
skin-10002305,刻下の契り
skin-20002305,書類の整理が全然終わらない……メイドに休みはないってもっと早く気付くべきだった……
skin-30002305,指揮官が約束した休暇、いつになったらもらえるの？あぁ……もう疲れたよ……
skin-10002401,ビーチパンク2064
skin-20002401,え？水遊びするの？でも……お耳濡れちゃうし……お洋服も……
skin-30002401,ビーチも海も楽しかった！……この黒いやつ、いったい何に使うかわからないけど、バレーも面白かった！
skin-10002402,スムージー・エイジ
skin-20002402,
skin-30002402,
skin-10002403,日はまだ昇らない
skin-20002403,日の光ほんとヤダ……日の光が嫌なのに海に行っちゃう自分はもっとヤダ……
