furniture-10000101,ハロウィン-ゴシック・ベッド
furniture-20000409,素敵なアフタヌーンティーの時間はいつも、スプリングフィールドやm45の作ったスイーツに始まる。しかし、食べ過ぎにはご注意を。虫歯は労災保険の適用外なので。
furniture-10000410,オータム-ひまわりの花瓶
furniture-20000410,シルクフラワーのひまわりと陶器の花瓶。本物の花に見劣りしないし、なにより扱いやすいのが特徴。
furniture-10000411,オータム-もみじの壁紙
furniture-20000411,秋を迎えるためにグリフィン本部が特注した壁紙。好評だったため、値上げも考えているらしい。
furniture-10000412,オータム-水墨画の掛絵
furniture-20000412,何を描いているのかさっぱり分からない、らくがき同然の絵だが、とある空挺兵は後期近代芸術だと強く主張していた。
furniture-10000413,オータム-ウサギのぬいぐるみ
furniture-20000413,柔らかくて可愛いぬいぐるみ。褐色の毛色が初秋の野兎を彷彿とさせる。赤色のスカーフはFALの貂のものと同じらしい。
furniture-10000414,オータム-散らばったラック
furniture-20000414,適当に本を並べておけば、持ち主がいくらか賢く見える壁掛け式ラック。
furniture-10000415,オータム-物置きラック
furniture-20000415,シリーズ本が全巻と、加えてちょっとした彫刻、謎の小箱が置かれてある壁掛け式ラック。
furniture-10000416,オータム-秋景色の窓
furniture-20000416,実際の秋景色を超高画質で撮影した動画。24時間再生も可能で、みかんは頑張った指揮官への補給物資。
furniture-10000501,新世界(II)-チェックタイル
furniture-20000501,二色のタイルが交錯した最も典型的なデザイン。ただし、頻繁に掃除が必要となる。
furniture-10000502,新世界(II)-色褪せた壁紙
furniture-20000502,少し褪せた色が、前世紀60年代の黄金時代を思い出させる。
furniture-10000503,新世界(II)-折りたたみベッド
furniture-20000503,野戦病院からもらってきたベッド。ダンボール箱のベッドよりもずっと快適らしい。セットの国防色の毛布で暖も取れる。
furniture-10000504,新世界(II)-回転スツール
furniture-20000504,もとはどこかのファストフード・チェーン店のものらしい。回転率を上げるため、わざと快適すぎないようにできている。
furniture-10000505,新世界(II)-ポールハンガー
furniture-20000505,荒廃して落ちぶれた戦後の世界であっても、身だしなみを整えるのは紳士や淑女にとって大事なこと。明日は放射能雨との予報が出たときはなおさら。
furniture-10000506,新世界(II)-ボトルウォーター
furniture-20000506,清潔な飲料水の確保は何よりも大切。キャップをひねった時にカチッと音がすると、心底ホッとする。
furniture-10000507,新世界(II)-引っ越しの荷物
furniture-20000507,たびたび引っ越す前線基地では、梱包済みのダンボール箱とはいやでも仲良くなる。
furniture-10000508,新世界(II)-スチームヒーター
furniture-20000508,基地では廃熱を利用した暖房が普及しているが、この精巧な金属製品はインテリアとしての価値を認められ、今も残されている。
furniture-10000509,新世界(II)-セーフティボックス
furniture-20000509,誰も暗証番号を知らないがため、長年閉ざされている大きな箱。仕方なく椅子として使っているが、中身が核弾頭でないことを祈る。
furniture-10000510,新世界(II)-スチールテーブル
furniture-20000510,ファストフード・チェーン店のテーブル。各種調味料のほか、12年前の古すぎる雑誌が置かれているのは、誰の趣味なんだろうか。
furniture-10000511,新世界(II)-ポスター
furniture-20000511,終戦後はカレンダーも作られなくなったし、もちろん熱々のホットドッグも買えなくなった。
furniture-10000512,新世界(II)-壁掛け時計
furniture-20000512,いや、サルバドール・ダリの作品でも何でもなく、誰かのいたずらで針が曲がっているだけだよ。
furniture-10000513,新世界(II)-換気扇
furniture-20000513,換気扇は空気を循環させてくれるほかに、静かすぎるときのBGMにもなり得る。
furniture-10000514,新世界(II)-ウォールライト
furniture-20000514,一回引っ張ると点灯し、もう一回引っ張ると更に明るくなり、力いっぱい引っ張るとひもがちぎれ、二度と消せなくなる。
furniture-10000515,新世界(II)-窓
furniture-20000515,本部に不審者が入り込む心配はそれほどないが、木の板で窓を塞ぐのは、この末世でも行われる伝統儀式となっている。
furniture-10000601,ロフト-ウッドフロア
furniture-20000601,塗装を施していない原木のままの床。温かい肌触りに、ありのままの風合いを楽しめるのが魅力だが、手入れが大変。
furniture-10000602,ロフト-ホワイトタイル
furniture-20000602,多くのロフトはもとが工廠の作業場で、壁が一面の白磁タイルである。これをそのまま残すことによっていい味が出る。
furniture-10000603,ロフト-ソフトベッド
furniture-20000603,いつの時代も芸術家はぐうたらするのが好きだ。そんな彼らにとって、柔らかいベッドは最高の友になり得る。
furniture-10000604,ロフト-イームズチェア(左)
furniture-20000604,世界で最初に大量生産された椅子。その精巧な構造は、マシンガンの戦術人形たちの体重にも耐えうる。
furniture-10000605,ロフト-イームズチェア(右)
furniture-20000605,世界で最初に大量生産された椅子。その精巧な構造は、マシンガンの戦術人形たちの体重にも耐えうる。
furniture-10000606,ロフト-古い自転車
furniture-20000606,第一次世界大戦時、偵察兵たちはライフルを車台のすき間に挿していたという。後世の主婦たちがそこにフランスパンを挿していたように。
furniture-10000607,ロフト-電気スタンド付きラック
furniture-20000607,外では銃弾が飛び交っていようとも、屋内では電気スタンドの温かい明かりが灯り、ラックには古いデザイン雑誌が隙間なく詰まっている。なんと幸せなことか。
furniture-10000608,ロフト-牛柄ラグ
furniture-20000608,贅沢の真髄は無駄遣いにある。乳牛をラグにしてしまうなんて、これ以上の無駄遣いがあろうか。
furniture-10000609,ロフト-ブックシェルフ
furniture-20000609,中にどんな本を入れるかはどうでもいい。とりあえずタイトルが読めない外国語のものならなんでもいいんだ。
furniture-10000610,ロフト-イームズソファ
furniture-20000610,真っ白のソファなんて、家事に従事する者にとっては災難でしかないが、芸術家たちは聞き入れてくれないようだ。
furniture-10000611,ロフト-メタルステア
furniture-20000611,階段がなければ真のロフトとは言えないが、上に上がれば気付くだろう。これがただでかいだけの飾り物だと。
furniture-10000612,ロフト-ジュラルミンテーブル
furniture-20000612,箱をテーブルにしたがる、グリフィンの栄えある伝統を継承しているうえ、芸術家たちが最も好むエスプレッソまで付いてある。
furniture-10000613,ロフト-ウッディライト
furniture-20000613,「どうして原木を壁に掛けるんだろう？」と疑問に思った時には、もう芸術家ではなくなっている。
furniture-10000614,ロフト-マップオーナメント
furniture-20000614,0-4のマップを部屋に飾る以上にイケてることなんてない。どうせ勝てないんだし。
furniture-10000615,ロフト-ポスター二種
furniture-20000615,「5マイル離れたところでドーナツを食べている警官と、そばにいるAR15。あなたならどちらを信じる？」
furniture-10000616,ロフト-晩秋景色の窓
furniture-20000616,現時点でグリフィンが提供している中で最大サイズの窓。やたら電気を食うのが玉に瑕。
furniture-10000701,静かな日常-快適なシングルベッド
furniture-20000701,生きていくには家が必要でしょ。それからちゃんとした生活に、大きな夢も必要でしょ。だからベッドも必要でしょ。
furniture-10000702,静かな日常-水玉ラグ
furniture-20000702,もとの色だと、人形たちがひまわりを踏み潰したんじゃないかと思い込んでしまうため、今の仕様になった。
furniture-10000703,静かな日常-家庭用冷蔵庫
furniture-20000703,恐ろしい魔窟へ通ずる扉。これに心を奪われた人形は、体重という名の枷を背負うこととなる。
furniture-10000704,静かな日常-ミニドレッサー
furniture-20000704,ここに座るのは大抵一日の始まりか、或いは終わりだろうが、それはまつ毛の長さによって決まる。
furniture-10000705,静かな日常-ファブリックソファ
furniture-20000705,家具にまつわる面白い話として、ソファの上には寝転び、ベッドの上には座るというものがある。
furniture-10000706,静かな日常-スクエアテーブル
furniture-20000706,正方形は簡潔、正直、安定などを意味し、カードゲームをするときに覗かれにくいことも意味する。
furniture-10000707,静かな日常-白いカーテンの格子窓
furniture-20000707,寝る前におやすみと告げるのはお決まりだが、そばに友達がいなくとも、月が替わりになってくれる。
furniture-10000708,静かな日常-ベッドサイドランプ
furniture-20000708,丈夫なひものスイッチは、人間のために作られたことを示しており、その過酷な時代に生きた不安障害の人々のストレスを和らげるためのものであったことが分かる。
furniture-10000709,静かな日常-ショートチェア（左）
furniture-20000709,人形はここに腰掛けておしゃべりしたり、靴を履き替えたり、ゲームをしたりする。小柄な子なら、騎馬戦をして遊ぶことだってできちゃう！
furniture-10000710,静かな日常-ショートチェア（右）
furniture-20000710,人形はここに腰掛けておしゃべりしたり、靴を履き替えたり、ゲームをしたりする。小柄な子なら、騎馬戦をして遊ぶことだってできちゃう！
furniture-10000711,静かな日常-スーツケース
furniture-20000711,ちょっとした思い出を預ける入れ物には、外の空気、渋滞、星で埋め尽くされた空、バカ高いミネラルウォーターが詰め込まれている……
furniture-10000712,静かな日常-カレンダー
furniture-20000712,ここに丸を書き込むことで、また人生における更なる自己欺瞞が幕を開ける。それはこの世で最もささやかで、最も可愛いらしい悲劇である。
furniture-10000713,静かな日常-ハンガーシェルフ
furniture-20000713,やんちゃな人形が登るのを防ぐため、高めの場所に設置しましょう……いや、そこまでしなくていいかな。
furniture-10000714,静かな日常-振り子時計
furniture-20000714,かつてはほとんどの家庭にこのような壁掛け時計があったが、時が経つにつれ、運命への期待は不安と恐れへと変わっていった。
furniture-10000715,静かな日常-シュガーウォール
furniture-20000715,こういうデザインの壁紙はリラックス効果を与えてくれる。前提として、幼稚園でいじめられた経験がなければだが。
furniture-10000716,静かな日常-フローリング
furniture-20000716,中へ入るなら靴を履き替えて！寝転がっているときに、人の靴跡や噛み終えたガムがついたらいやでしょ！
furniture-10000801,キュートな日常-快適なシングルベッド
furniture-20000801,生きていくには家が必要でしょ。それからちゃんとした生活に、大きな夢も必要でしょ。だからベッドも必要でしょ。
furniture-10000802,キュートな日常-水玉ラグ
furniture-20000802,もとの色だと、人形たちがひまわりを踏み潰したんじゃないかと思い込んでしまうため、今の仕様になった。
furniture-10000803,キュートな日常-家庭用冷蔵庫
furniture-20000803,恐ろしい魔窟へ通ずる扉。これに心を奪われた人形は、体重という名の枷を背負うこととなる。
furniture-10000804,キュートな日常-ミニドレッサー
furniture-20000804,ここに座るのは大抵一日の始まりか、或いは終わりだろうが、それはまつ毛の長さによって決まる。
furniture-10000805,キュートな日常-ファブリックソファ
furniture-20000805,家具にまつわる面白い話として、ソファの上には寝転び、ベッドの上には座るというものがある。
furniture-10000806,キュートな日常-スクエアテーブル
furniture-20000806,正方形は簡潔、正直、安定などを意味し、カードゲームをするときに覗かれにくいことも意味する。
furniture-10000807,キュートな日常-白いカーテンの格子窓
furniture-20000807,寝る前におやすみと告げるのはお決まりだが、そばに友達がいなくとも、月が替わりになってくれる。
furniture-10000808,キュートな日常-ベッドサイドランプ
furniture-20000808,丈夫なひものスイッチは、人間のために作られたことを示しており、その過酷な時代に生きた不安障害の人々のストレスを和らげるためのものであったことが分かる。
furniture-10000809,キュートな日常-ショートチェア（左）
furniture-20000809,人形はここに腰掛けておしゃべりしたり、靴を履き替えたり、ゲームをしたりする。小柄な子なら、騎馬戦をして遊ぶことだってできちゃう！
furniture-10000810,キュートな日常-ショートチェア（右）
furniture-20000810,人形はここに腰掛けておしゃべりしたり、靴を履き替えたり、ゲームをしたりする。小柄な子なら、騎馬戦をして遊ぶことだってできちゃう！
furniture-10000811,キュートな日常-スーツケース
furniture-20000811,ちょっとした思い出を預ける入れ物には、外の空気、渋滞、星で埋め尽くされた空、バカ高いミネラルウォーターが詰め込まれている……
furniture-10000812,キュートな日常-カレンダー
furniture-20000812,ここに丸を書き込むことで、また人生における更なる自己欺瞞が幕を開ける。それはこの世で最もささやかで、最も可愛いらしい悲劇である。
furniture-10000813,キュートな日常-ハンガーシェルフ
furniture-20000813,やんちゃな人形が登るのを防ぐため、高めの場所に設置しましょう……いや、そこまでしなくていいかな。
furniture-10000814,キュートな日常-振り子時計
furniture-20000814,かつてはほとんどの家庭にこのような壁掛け時計があったが、時が経つにつれ、運命への期待は不安と恐れへと変わっていった。
furniture-10000815,キュートな日常-シュガーウォール
furniture-20000815,こういうデザインの壁紙はリラックス効果を与えてくれる。前提として、幼稚園でいじめられた経験がなければだが。
furniture-10000816,キュートな日常-フローリング
furniture-20000816,中へ入るなら靴を履き替えて！寝転がっているときに、人の靴跡や噛み終えたガムがついたらいやでしょ！
furniture-10000901,司令室-モノクロベッド
furniture-20000901,しっかりした作りがあなたの今夜の睡眠を保証。人形に耳元で会議記録を読んでもらうと、さらに効果的です。
furniture-10000902,司令室-グレーストライプラグ
furniture-20000902,暗い配色で人形には敬遠されがちだが、寝転がるとそれがいかに上品・快適で、誰も傷つけないかが分かる。
furniture-10000903,司令室-応接用一人掛けソファ(左)
furniture-20000903,お偉い客人たちはそこに腰掛けて優雅に話しているが、クッションの下にはお菓子の包み紙や、買い物のレシートなどが詰まっていたりする。
furniture-10000904,司令室-応接用一人掛けソファ(右)
furniture-20000904,お偉い客人たちはそこに腰掛けて優雅に話しているが、クッションの下にはお菓子の包み紙や、買い物のレシートなどが詰まっていたりする。
furniture-10000905,司令室-モノクロデスク
furniture-20000905,シンプルなデザインで、使い勝手も良く、さらに個性の自由も実証された。なぜなら、とうとう足を伸ばせるようになったから！
furniture-10000906,司令室-ガンラック
furniture-20000906,規定により、これらの武器は単なる飾り。けれどあなたは知っている……そんなことは上層部の大物しかわきまえていないと。
furniture-10000907,司令室-ドローン端末
furniture-20000907,非戦闘時にはよく人形にジュースを渡したり、写真を撮ったり……抵抗モジュールをインストールすべき？
furniture-10000908,司令室-折り畳み式デスクライト
furniture-20000908,調節可能という、卓上ライトに必要な機能だけの照明。専門とは、その本分以外のことは解決できないことを意味している。
furniture-10000909,司令室-応接用二人掛けソファ
furniture-20000909,このオフィスセットは非常に高価。理屈から言って上等な陶器の灰皿が必要だが、人形たちがどうしても認めてくれない。
furniture-10000911,司令室-モノクロウォール
furniture-20000911,深遠で細かいパターンは人に様々なことを考えさせる……自分を見失ってこそ、インスピレーションは降りてくるのだ。
furniture-10000912,司令室-金属製の鹿の剥製
furniture-20000912,この時代、生きている鹿を見たことのある者はほとんどいない。ある日、この首が喋りだすかもしれない。森の奥で私を探してくれと。
furniture-10000913,司令室-デジタルマップ
furniture-20000913,次の出撃地点を表示し……いや、前回のじゃないか？おい、これは誰がやった、今日の副官はどいつだ？
furniture-10000914,司令室-デジタル・ディスプレイ
furniture-20000914,その日の作戦手順が表示される。作戦がなければ、夕飯のメニューや担当シェフを確認できるらしい。
furniture-10000915,司令室-グリフィン・プラカード
furniture-20000915,あなたの指揮官キャリアの始まりと証明。人形を呼んでドアに設置してもらいましょう。……C96はやめたほうがいいです。きちんと設置できない可能性があるので。
furniture-10000916,司令室-列車の窓
furniture-20000916,灯火の中に浮かぶ荒凉とした街。今夜、彼女たちは人間のことなど頭から締め出し、あなただけを想っている。
furniture-10000917,司令室-旧未来フロア
furniture-20000917,半世紀前の人たちは、50年後のフロアはこんな感じだろうと想像していたらしい。はは……
furniture-10001001,喫茶店-ソファベッド
furniture-20001001,「何の変哲もないただのソファじゃん、って？だって喫茶店のソファは寝るためのものでしょ。」
furniture-10001002,喫茶店-チェックタイル
furniture-20001002,どうしてタイルでカーペットじゃないのかって？コーヒーをカーペットにこぼしたら大惨事だからよ。
furniture-10001003,喫茶店-ブリキチェア(左)
furniture-20001003,典型的なフランスデザインのチェア。見た目は武骨だが、作りが頑丈なため大量生産に向いている。どこの喫茶店でも必需品。
furniture-10001004,喫茶店-ブリキチェア(右)
furniture-20001004,典型的なフランスデザインのチェア。見た目は武骨だが、作りが頑丈なため大量生産に向いている。どこの喫茶店でも必需品。
furniture-10001005,喫茶店-コーヒーメーカー置き
furniture-20001005,喫茶店の主要設備。既にレトロなコーヒーメーカーが設置されているが、手で淹れる道具だってちゃんと備わっている。
furniture-10001006,喫茶店-案内板とショーケース
furniture-20001006,廃棄された飛行場からいただいてきた案内板と、ドリンクやデザートでいっぱいの冷蔵ショーケース。これぞ幸せの源（冷えたコーラが入っている場合は鍵をかけてね）。
furniture-10001007,喫茶店-コンクリートフロア
furniture-20001007,コンクリートの床。見た目は無骨だけど掃除は楽だし、芸術家たちからの評価も高い。
furniture-10001008,喫茶店-コーヒーテーブル
furniture-20001008,台座は金属製の凝った作りで、原木の天板には長年使われてきた痕跡が残り、重厚な質感をもつ。
furniture-10001009,喫茶店-グレーのレンガ壁
furniture-20001009,ダークグレーのレンガ壁が人々の心を落ち着ける。道理でみんな店に長居するわけだ。
furniture-10001010,喫茶店-コーヒーラック
furniture-20001010,以前は世界各地の厳選されたコーヒー豆を空輸で運んできていたが、今は命懸けでクルーガーさんの個人倉庫からくすねてきている。
furniture-10001011,喫茶店-黒板メニュー
furniture-20001011,黒板は文芸喫茶の定番ともいえよう。様々な食べ物や飲み物のメニューが書き込まれているが、そこで戦術少女が絵の才能を発揮していることも。
furniture-10001012,喫茶店-大型看板
furniture-20001012,このMはマグナム(MAGNUM)のMであって、他意はない。
furniture-10001013,喫茶店-二面長窓
furniture-20001013,商業ビル風の長窓。外の通りは2020年のブルックリンで撮影したもの。
furniture-10001101,暖冬の和室-あったかお布団
furniture-20001101,あぁ……この世でいちばんあったかい場所。キミがあれば、どうやって外の世界に立ち向かえばいいんだ？
furniture-10001102,暖冬の和室-リビングボード
furniture-20001102,収納にもってこいの棚。装飾品を置くこともできる。やがて大きな装飾品になるよ。
furniture-10001103,暖冬の和室-丸型クッション
furniture-20001103,ふかふかのクッション。場合によっては正座してもOK。……どの人形がアヒル座りができないか知ってる？
furniture-10001104,暖冬の和室-雛人形
furniture-20001104,節句のときにだけ飾る雛飾り。人形のイメージが変わるかも……ちょっと、これ誰の仕業？！
furniture-10001105,暖冬の和室-ミニキャビネット
furniture-20001105,私物の収納用。丸い化粧鏡がぴったり……ってP7、人の目に光を反射させちゃダメ！
furniture-10001107,暖冬の和室-行燈
furniture-20001107,点灯させると美しいパターンが浮かび上がるので、器用な人形は灯籠用の別の紙で作ったり……って怖い絵はやめて！
furniture-10001108,暖冬の和室-浴室仕切り
furniture-20001108,小柄な人形はこれが大好き。子供の頃……上に掛けられたタオルに飛びつく遊びをしませんでした？
furniture-10001109,暖冬の和室-温かいこたつ
furniture-20001109,これをいつ撤去します？全体からまばゆい光を発し、あなたの身も心もがっちりと掴んで放さない、この居心地のいい悪魔を……
furniture-10001110,暖冬の和室-和風の壁紙
furniture-20001110,シンプルなようでいて、手の込んでいる壁紙。のほほんとした日常の雰囲気にはぴったりだけど、仕事もあるのを忘れないように。
furniture-10001111,暖冬の和室-神棚
furniture-20001111,神様をお祀りするちいさな棚。……神様は寒がりじゃない？高い所は大丈夫なの？やっぱりあんまり高い所はやめたほうがいい？
furniture-10001112,暖冬の和室-ダルマの掛け軸
furniture-20001112,七転び八起きの象徴で、そう簡単には倒れない達磨！……だから！私だってそう簡単にこたつからは出ないわよ！
furniture-10001113,暖冬の和室-風流な丸窓
furniture-20001113,窓を通じて、冬とともに訪れるインスピレーションを受け取れば、暖かい部屋で小さな詩が生まれる。
furniture-10001114,暖冬の和室-畳
furniture-20001114,イグサを編んだ天然の畳は、そのまま寝転がることができる。すべてを忘れて、ごろごろしよう！
furniture-10001201,厳冬の和室-あったかお布団
furniture-20001201,あぁ……この世でいちばんあったかい場所。キミがあれば、どうやって外の世界に立ち向かえばいいんだ？
furniture-10001202,厳冬の和室-リビングボード
furniture-20001202,収納にもってこいの棚。装飾品を置くこともできる。やがて大きな装飾品になるよ。
furniture-10001203,厳冬の和室-丸型クッション
furniture-20001203,ふかふかのクッション。場合によっては正座してもOK。……どの人形がアヒル座りができないか知ってる？
furniture-10001204,厳冬の和室-雛飾り
furniture-20001204,節句のときにだけ飾る雛飾り。人形のイメージが変わるかも……ちょっと、これ誰の仕業？！
furniture-10001205,厳冬の和室-ミニキャビネット
furniture-20001205,私物の収納用。丸い化粧鏡がぴったり……ってP7、人の目に光を反射させちゃダメ！
furniture-10001207,厳冬の和室-行燈
furniture-20001207,点灯させると美しいパターンが浮かび上がるので、器用な人形は灯籠用の別の紙で作ったり……って怖い絵はやめて！
furniture-10001208,厳冬の和室-浴室仕切り
furniture-20001208,小柄な人形はこれが大好き。子供の頃……上に掛けられたタオルに飛びつく遊びをしませんでした？
furniture-10001209,厳冬の和室-温かいこたつ
furniture-20001209,これをいつ撤去します？全体からまばゆい光を発し、あなたの身も心もがっちりと掴んで放さない、この居心地のいい悪魔を……
furniture-10001210,厳冬の和室-和風の壁紙
furniture-20001210,シンプルなようでいて、手の込んでいる壁紙。のほほんとした日常の雰囲気にはぴったりだけど、仕事もあるのを忘れないように。
furniture-10001211,厳冬の和室-神棚
furniture-20001211,神様をお祀りするちいさな棚。……神様は寒がりじゃない？高い所は大丈夫なの？やっぱりあんまり高い所はやめたほうがいい？
furniture-10001212,厳冬の和室-ダルマの掛け軸
furniture-20001212,七転び八起きの象徴で、そう簡単には倒れない達磨！……だから！私だってそう簡単にこたつからは出ないわよ！
furniture-10001213,厳冬の和室-風流な丸窓
